id,category,title,url,final_url,filename,saved_path,status,bytes,content_type,use,note,error
"CON-006","contracts","交通银行惠民贷产品服务协议下载接口","https://www.bankcomm.com/BankCommSite/fileDownload.do?fileId=6dc5b613c8c340c5956245c23b42fd2f","https://www.bankcomm.com/BankCommSite/fileDownload.do?fileId=6dc5b613c8c340c5956245c23b42fd2f","CON-006_BOCOM_Huiminloan_service_agreement","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-006_BOCOM_Huiminloan_service_agreement","ok","41770","","惠民贷服务协议、日利率、提前还款与服务字段","",""
"CON-007","contracts","邮储银行个人借款合同公示页","https://www.psbc.com/cn/grfw/cdh/xdfw/grjkhtgs/","https://www.psbc.com/cn/grfw/cdh/xdfw/grjkhtgs/","CON-007_PSBC_personal_contracts_index.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-007_PSBC_personal_contracts_index.html","ok","193406","text/html","邮储银行个贷合同公示入口","",""
"CON-008","contracts","邮储银行邮享贷消费贷款借款合同","https://www.psbc.com/cn/grfw/cdh/xdfw/grjkhtgs/202503/P020250324399437020905.pdf","https://www.psbc.com/cn/grfw/cdh/xdfw/grjkhtgs/202503/P020250324399437020905.pdf","CON-008_PSBC_Youxiangdai_consumer_loan_contract.pdf","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-008_PSBC_Youxiangdai_consumer_loan_contract.pdf","ok","354217","application/pdf","邮享贷消费贷合同、贷款金额/期限/利率/还款方式字段","",""
"CON-009","contracts","邮储银行个人额度借款合同（线下版）","https://www.psbc.com/cn/grfw/cdh/xdfw/grjkhtgs/202503/P020250324400258705241.pdf","https://www.psbc.com/cn/grfw/cdh/xdfw/grjkhtgs/202503/P020250324400258705241.pdf","CON-009_PSBC_personal_quota_loan_contract_offline.pdf","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-009_PSBC_personal_quota_loan_contract_offline.pdf","ok","154677","application/pdf","支用金额、还款方式枚举、LPR/固定/浮动利率字段","",""
"CON-010","contracts","农业银行借款合同公示页","https://www.abchina.com.cn/cn/PersonalServices/Loans/jkhtgs/202303/t20230317_2248545.htm","https://www.abchina.com.cn/cn/PersonalServices/Loans/jkhtgs/202303/t20230317_2248545.htm","CON-010_ABC_loan_contracts_index.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-010_ABC_loan_contracts_index.html","ok","72425","text/html","农行合同模板入口","",""
"CON-011","contracts","农业银行个人自助小额借款合同","https://www.abchina.com/cn/PersonalServices/Loans/jkhtgs/202303/W020230320333837167305.pdf","https://www.abchina.com/cn/PersonalServices/Loans/jkhtgs/202303/W020230320333837167305.pdf","CON-011_ABC_personal_self_service_small_loan_contract.pdf","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-011_ABC_personal_self_service_small_loan_contract.pdf","ok","249078","application/pdf","还款方式公式：利随本清、先息后本、等额本息、等额本金","",""
"CON-012","contracts","工商银行融e借个人信用消费贷款合同","https://media.icbc.com.cn/agreement/957126752235331593.html","https://media.icbc.com.cn/agreement/957126752235331593.html","CON-012_ICBC_Rongejie_credit_consumer_loan_contract.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-012_ICBC_Rongejie_credit_consumer_loan_contract.html","ok","158332","text/html","融e借合同结构、用途限制、期限、提前还款","",""
"CON-013","contracts","建设银行个人消费借款合同 DOC","https://ccb.com/yn/cn/business/upload/20200605_1591327418/20200605114803541061.doc","https://ccb.com/yn/cn/business/upload/20200605_1591327418/20200605114803541061.doc","CON-013_CCB_personal_consumption_loan_contract.doc","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-013_CCB_personal_consumption_loan_contract.doc","ok","268288","","消费借款合同模板字段补充","",""
"CON-014","contracts","兴业银行个人综合消费借款合同（PDF）","https://download.cib.com.cn/netbank/download/cn/wealth/20240728/50.pdf","https://download.cib.com.cn/netbank/download/cn/wealth/20240728/50.pdf","CON-014_CIB_personal_comprehensive_consumption_loan_contract_2024.pdf","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\contracts\CON-014_CIB_personal_comprehensive_consumption_loan_contract_2024.pdf","ok","248155","application/pdf","兴业银行个人综合消费借款合同模板、贷款用途、利率、还款方式、违约条款","",""
"PROD-001","products","中国银行中银E贷·互联网个人信用循环消费贷款","https://www.boc.cn/pbservice/pb2/201602/t20160229_6465863.html","https://www.boc.cn/pbservice/pb2/201602/t20160229_6465863.html","PROD-001_BOC_Eloan_product.html","E:\妖\在中大\学习\大三下\金融科技\小组作业\agent\B同学_合同与金融产品知识库_20260701\raw_sources\products\PROD-001_BOC_Eloan_product.html","ok","29833","text/html","额度30万、最长1年、LPR定价、循环随借随还、还款方式","",""
